Country,Flag,Code,Population
Belarus,<img src="img/Belarus.png"> ,+375,9.5
Poland,<img src="img/Poland.png">,+48,38.6
Russia,<img src="img/Russia.png">,+7,147
Ukraine,<img src="img/Ukraine.png">,+380,45
Germany,<img src="img/Germany.png">,+49,83
France,<img src="img/France.png">,+33,67
Lithuania,<img src="img/Lithuania.png">,+370,2.8
Latvia,<img src="img/Latvia.png">,+371,2.1
China,<img src="img/China.png">,+7,1386
Estonia,<img src="img/Estonia.png",+372,1.3
Kazakhstan,<img src="img/Kazakhstan.png">,+7,18
